"name","img","info"
"Annie Hall","https://lh5.googleusercontent.com/proxy/JYn_9AQVaef2fesUyiAw85g3v5Eyp4-pu0GYx59puL60SLb0yX6XZWlMCzShbcqKlUIBQ8Kllmj5Bw9nVA","A quirky and intellectual romance in NYC."
"Grease","https://m.media-amazon.com/images/I/61V2hfiHJuL.jpg","1950s high school love, dancing, and drama."
"Roman Holiday","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIDowtUvuWZCAZl4Lcu30DjE39vHaE2gwaGw&s","A princess escapes for a day in Rome."
"Gone With The Wind","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmFg6KMz33ign-SYx_PHoTfM9Ou1mQ9erX-Q&s","An epic tale of love during the Civil War."
"The Great Gatsby","https://i.pinimg.com/736x/9f/3f/8b/9f3f8b92360fa7e414762c51f41f74c7.jpg","A rich man's pursuit of lost love in the Roaring Twenties."
"Manhattan","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG2lF77k8DsEsD4F3P_c_glJ8SFRTSkGgFtw&s","A romantic ode to New York and modern relationships."
"Snow White","https://krisworld.singaporeair.com/krisworlddigital/movies/posters/Snow-White-and-the-Seven-Dwarfs-(1937)_BV_61940_KA01.jpg","Princess Snow White, who is forced to flee the castle after her jealous stepmother, the Queen, learns from her magic mirror that Snow White is the fairest of them all."
"The Aristocats","https://lumiere-a.akamaihd.net/v1/images/p_thearistocats_19754_9f944ce1.jpeg?region=0%2C0%2C540%2C810","A sophisticated cat named Duchess and her three kittens live a pampered life in Paris with their owner, retired opera singer Madame Adelaide Bonfamille."
"Peter Pan","https://www.prindleinstitute.org/wp-content/uploads/2021/01/Screen-Shot-2021-01-29-at-6.51.28-AM.png","A boy who never grows up and his adventures in Neverland with Wendy and her brothers. They encounter fairies, pirates led by the infamous Captain Hook, and the Lost Boys, ultimately leading to a confrontation with Hook and a return home for the Darling children. "
"The Many Adventures of Winnie the Pooh","https://i.ebayimg.com/images/g/PHEAAMXQnYJQ9zJz/s-l500.jpg","The film follows the adventures of Winnie the Pooh, a honey-loving bear, and his friends in the Hundred Acre Wood, including Piglet, Eeyore, Tigger, Rabbit, Owl, Kanga, and Roo."
"Pinocchio","https://www.hollywoodreporter.com/wp-content/uploads/2020/02/pinocchio_-_h_-_1940_0.jpg?w=1296&h=730&crop=1","Tells the story of a wooden puppet brought to life by a wish and his journey to become a real boy."
"Dumbo","https://wearesecondunion.com/wp-content/uploads/2017/08/dumbo-disneyscreencaps.com-6967.jpg","A newborn elephant with unusually large ears, nicknamed Dumbo, is ridiculed and ostracized at a struggling circus."
"Cinderella","https://scriptmag.com/uploads/MjEzMDY4NDEzMzA2Njc2NzQ1/cinderella-1950-gown.jpg?format=auto&optimize=high&width=1440","A kind young woman mistreated by her stepmother and stepsisters. With the help of her fairy godmother, she attends a royal ball and captures the prince's heart."
"Sleeping Beauty","https://www.slantmagazine.com/wp-content/uploads/2003/09/sleepingbeauty.jpg","Princess Aurora is cursed to fall into a deep sleep on her 16th birthday after pricking her finger on a spinning wheel. A good fairy alters the curse so that instead of death, she will sleep for one hundred years, to be awakened by a prince's kiss. The prince must navigate through a forest of thorns to reach the princess and break the curse." 
